"inning","inningHalf","outcomeId","outcomeDescription","pitcherThrowHand","pitcherPitchCount","pitchSpeed","pitchZone","startingBalls","startingStrikes","startingOuts","Success","age","sprint_speed","Fastest","AvgSpeed","home_lead","pitchType","pitchTypeDescription"
12,"BOT","kKS","Strike Swinging","R",14,88,8,1,0,1,1,31,26.7,93.9,88.4933004926108,-1,"CT","Cutter"
5,"TOP","bB","Ball","R",92,88,10,1,1,2,1,29,28.3,96.2,90.0391184573003,-2,"FA","Fastball"
5,"TOP","bB","Ball","R",92,88,10,2,1,2,0,29,28.3,96.2,90.0391184573003,-2,"CT","Cutter"
7,"TOP","bB","Ball","L",14,80,13,2,1,1,1,30,28,93.1,85.9178835978836,4,"CH","Changeup"
1,"BOT","bB","Ball","L",14,95,13,1,0,2,0,28,29.2,96.3,88.4460057747834,0,"FA","Fastball"
6,"TOP","bB","Ball","R",102,69,13,1,1,2,1,27,28,87.3,77.252186277995,-1,"CU","Curveball"
5,"BOT","bB","Ball","L",73,93,10,1,2,2,1,30,26.3,96.4,89.0952570480929,4,"FA","Fastball"
1,"BOT","bB","Ball","R",14,78,13,1,0,2,1,28,29.2,93,84.6837837837838,0,"SL","Slider"
7,"TOP","kKL","Strike Looking","R",2,91,9,0,0,0,1,29,28.6,94,86.489224137931,-2,"FA","Fastball"
7,"BOT","bB","Ball","R",17,90,13,0,0,2,1,31,28.3,96.9,88.5377358490566,1,"CT","Cutter"
9,"BOT","bB","Ball","R",8,94,10,0,1,1,1,35,28.4,95.3,88.525,-1,"CT","Cutter"
8,"BOT","kKS","Strike Swinging","R",6,91,11,1,0,2,1,32,24.2,94,87.543045112782,4,"SI","Sinker"
8,"TOP","bB","Ball","R",20,94,13,0,2,1,0,33,28.8,96.5,87.0933333333333,0,"FA","Fastball"
9,"TOP","kKS","Strike Swinging","R",40,86,12,3,2,1,1,29,26.7,93.7,87.7791871921182,-3,"CT","Cutter"
1,"BOT","bPO","Pitch Out","R",19,89,11,0,2,2,0,32,24.2,93,83.5683195592287,2,"PI","Pitchout"
7,"BOT","bB","Ball","R",16,96,11,0,0,2,1,32,28.1,99.3,91.573231218089,1,"FA","Fastball"
5,"TOP","bB","Ball","R",85,97,12,0,0,2,1,28,26,100.5,90.9065372168285,-3,"FA","Fastball"
1,"TOP","bB","Ball","R",6,93,3,1,1,0,0,31,28.3,97.1,87.6840916125039,0,"SI","Sinker"
9,"BOT","kKL","Strike Looking","R",20,75,4,0,0,2,1,35,28.4,91.4,85.3062770562771,-1,"CU","Curveball"
1,"BOT","kKL","Strike Looking","R",15,95,9,1,0,1,1,33,27.8,98.4,90.1001657275439,1,"FA","Fastball"
2,"TOP","bB","Ball","R",26,83,11,1,0,1,1,26,27.7,93.2,85.4592574499267,-1,"CH","Changeup"
5,"TOP","bB","Ball","R",71,82,12,0,1,0,1,32,28.1,97.1,87.6840916125039,0,"CU","Curveball"
10,"TOP","bB","Ball","R",6,91,12,0,1,1,0,32,28.1,98.9,91.7981715893108,0,"CT","Cutter"
5,"TOP","kKS","Strike Swinging","R",71,82,7,2,1,1,0,30,27.6,95.2,88.6017747858017,2,"CH","Changeup"
6,"BOT","bB","Ball","R",100,88,10,2,2,0,1,35,28.4,98,91.0095447870778,1,"SL","Slider"
4,"TOP","bB","Ball","R",76,84,11,0,1,2,0,26,27.5,97.1,87.6840916125039,1,"CH","Changeup"
3,"BOT","bDB","Dirt Ball","L",56,85,12,1,0,0,1,28,27.1,96.4,89.0867478510029,1,"CH","Changeup"
9,"BOT","kKS","Strike Swinging","R",10,96,5,1,1,1,1,34,28.1,97.6,90.7578373015873,-1,"FA","Fastball"
3,"TOP","bB","Ball","R",60,87,11,2,2,1,1,31,28.3,90.8,83.4304971638305,-1,"FA","Fastball"
8,"BOT","bB","Ball","R",6,97,13,1,0,0,1,29,29.3,99.9,92.5808964781217,-2,"FA","Fastball"
2,"BOT","kKL","Strike Looking","R",35,90,1,3,2,1,1,25,26.4,94.2,86.2954093343535,2,"FA","Fastball"
3,"BOT","bB","Ball","R",48,87,11,0,0,0,0,28,27.9,94.2,86.2954093343535,2,"FA","Fastball"
1,"BOT","bB","Ball","R",10,86,13,0,1,0,1,28,27.9,94.2,86.2954093343535,0,"SL","Slider"
4,"TOP","kKS","Strike Swinging","R",64,87,9,3,2,1,1,28,25.9,93.3,84.6869395711501,-1,"FA","Fastball"
3,"TOP","kKL","Strike Looking","R",36,88,9,0,0,0,0,25,28,93.3,84.6869395711501,-1,"FA","Fastball"
9,"BOT","kKL","Strike Looking","R",4,92,3,0,0,0,1,29,27.7,96.9,90.2055253623188,0,"FA","Fastball"
4,"TOP","bB","Ball","R",58,76,13,1,1,1,1,32,26.6,97.9,88.6657084188912,1,"CU","Curveball"
8,"TOP","kKL","Strike Looking","R",14,94,4,0,0,1,1,28,28.1,97,91.097528957529,1,"FA","Fastball"
9,"TOP","bB","Ball","R",18,91,13,0,1,1,1,28,26.7,100.1,93.7169179229481,-1,"SL","Slider"
3,"BOT","kKS","Strike Swinging","R",43,91,5,0,0,1,0,28,27.4,96.6,88.790958690569,-1,"FA","Fastball"
3,"BOT","kKL","Strike Looking","R",43,91,5,0,1,2,1,28,27.4,96.6,88.790958690569,-1,"FA","Fastball"
5,"TOP","bDB","Dirt Ball","R",80,75,13,0,1,2,1,32,26.6,96.1,86.014118705036,3,"CU","Curveball"
